num_threads,love,hate,duration,block_size
1,27600,1500,460,3433801
2,27600,1500,310,1716900
3,27600,1500,260,1144600
4,27600,1500,229,858450
5,27600,1500,201,686760
6,27600,1500,190,572300
7,27600,1500,181,490543
8,27600,1500,168,429225
9,27600,1500,164,381533
10,27600,1500,158,343380
11,27600,1500,153,312163
12,27600,1500,154,286150
13,27600,1500,147,264138
14,27600,1500,138,245271
15,27600,1500,134,228920
16,27600,1500,132,214612
17,27600,1500,135,201988
18,27600,1500,132,190766
19,27600,1500,128,180726
20,27600,1500,128,171690
21,27600,1500,127,163514
22,27600,1500,137,156081
23,27600,1500,128,149295
24,27600,1500,127,143075
25,27600,1500,126,137352
26,27600,1500,126,132069
27,27600,1500,126,127177
28,27600,1500,123,122635
29,27600,1500,123,118406
30,27600,1500,126,114460
31,27600,1500,124,110767
32,27600,1500,124,107306
33,27600,1500,123,104054
34,27600,1500,133,100994
35,27600,1500,122,98108
36,27600,1500,122,95383
37,27600,1500,127,92805
38,27600,1500,133,90363
39,27600,1500,122,88046
40,27600,1500,127,85845
41,27600,1500,136,83751
42,27600,1500,130,81757
43,27600,1500,124,79855
44,27600,1500,120,78040
45,27600,1500,121,76306
46,27600,1500,127,74647
47,27600,1500,126,73059
48,27600,1500,127,71537
49,27600,1500,120,70077
50,27600,1500,121,68676
51,27600,1500,120,67329
52,27600,1500,122,66034
53,27600,1500,119,64788
54,27600,1500,120,63588
55,27600,1500,142,62432
56,27600,1500,122,61317
57,27600,1500,121,60242
58,27600,1500,139,59203
59,27600,1500,121,58200
60,27600,1500,122,57230
61,27600,1500,121,56291
62,27600,1500,121,55383
63,27600,1500,139,54504
64,27600,1500,129,53653
65,27600,1500,119,52827
66,27600,1500,124,52027
67,27600,1500,122,51250
68,27600,1500,122,50497
69,27600,1500,120,49765
70,27600,1500,119,49054
71,27600,1500,123,48363
72,27600,1500,122,47691
73,27600,1500,124,47038
74,27600,1500,123,46402
75,27600,1500,120,45784
76,27600,1500,122,45181
77,27600,1500,120,44594
78,27600,1500,121,44023
79,27600,1500,124,43465
80,27600,1500,120,42922
81,27600,1500,120,42392
82,27600,1500,118,41875
83,27600,1500,121,41371
84,27600,1500,119,40878
85,27600,1500,118,40397
86,27600,1500,119,39927
87,27600,1500,119,39468
88,27600,1500,122,39020
89,27600,1500,120,38582
90,27600,1500,118,38153
91,27600,1500,118,37734
92,27600,1500,118,37323
93,27600,1500,118,36922
94,27600,1500,125,36529
95,27600,1500,120,36145
96,27600,1500,120,35768
97,27600,1500,123,35400
98,27600,1500,120,35038
99,27600,1500,121,34684
100,27600,1500,117,34338
